::ffff:192.168.20.4 - - [18/Dec/2022:08:16:39 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.2 - - [18/Dec/2022:08:29:33 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.2 - - [18/Dec/2022:08:29:35 +0000] "GET /api/v1/units HTTP/1.1" 304 - "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.4 - - [18/Dec/2022:08:30:04 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:30:06 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:40:25 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:40:28 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.2 - - [18/Dec/2022:08:40:53 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.2 - - [18/Dec/2022:08:40:54 +0000] "GET /api/v1/units HTTP/1.1" 304 - "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.4 - - [18/Dec/2022:08:43:32 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:43:34 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:43:55 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:43:57 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:43:59 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:44:31 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:44:33 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:44:37 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.2 - - [18/Dec/2022:08:44:57 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.2 - - [18/Dec/2022:08:44:59 +0000] "GET /api/v1/units HTTP/1.1" 304 - "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.2 - - [18/Dec/2022:08:45:02 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 200 2215 "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.2 - - [18/Dec/2022:08:45:25 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 304 - "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.4 - - [18/Dec/2022:09:17:18 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:17:21 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:17:24 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:17:50 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:17:52 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:09:17:54 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
